max_depth	min_split	cp	minbucket	ganancia_promedio
4	0	-0.6	200	9143333
4	800	-0.6	200	9143333
4	600	-0.6	200	9143333
6	0	-0.6	200	8733333
6	800	-0.6	200	9343333
6	600	-0.6	200	8733333
8	0	-0.6	200	7150000
8	800	-0.6	200	8333333
8	600	-0.6	200	7800000
4	0	-0.6	300	1e+07
4	800	-0.6	300	1e+07
4	600	-0.6	300	1e+07
6	0	-0.6	300	9320000
6	800	-0.6	300	10223333
6	600	-0.6	300	9320000
8	0	-0.6	300	7996667
8	800	-0.6	300	8900000
8	600	-0.6	300	7996667
4	0	-0.6	400	1e+07
4	800	-0.6	400	1e+07
4	600	-0.6	400	1e+07
6	0	-0.6	400	10653333
6	800	-0.6	400	10653333
6	600	-0.6	400	10653333
8	0	-0.6	400	10246667
8	800	-0.6	400	10246667
8	600	-0.6	400	10246667
4	0	-0.8	200	9143333
4	800	-0.8	200	9143333
4	600	-0.8	200	9143333
6	0	-0.8	200	8733333
6	800	-0.8	200	9343333
6	600	-0.8	200	8733333
8	0	-0.8	200	7150000
8	800	-0.8	200	8333333
8	600	-0.8	200	7800000
4	0	-0.8	300	1e+07
4	800	-0.8	300	1e+07
4	600	-0.8	300	1e+07
6	0	-0.8	300	9320000
6	800	-0.8	300	10223333
6	600	-0.8	300	9320000
8	0	-0.8	300	7996667
8	800	-0.8	300	8900000
8	600	-0.8	300	7996667
4	0	-0.8	400	1e+07
4	800	-0.8	400	1e+07
4	600	-0.8	400	1e+07
6	0	-0.8	400	10653333
6	800	-0.8	400	10653333
6	600	-0.8	400	10653333
8	0	-0.8	400	10246667
8	800	-0.8	400	10246667
8	600	-0.8	400	10246667
4	0	-1	200	9143333
4	800	-1	200	9143333
4	600	-1	200	9143333
6	0	-1	200	8733333
6	800	-1	200	9343333
6	600	-1	200	8733333
8	0	-1	200	7150000
8	800	-1	200	8333333
8	600	-1	200	7800000
4	0	-1	300	1e+07
4	800	-1	300	1e+07
4	600	-1	300	1e+07
6	0	-1	300	9320000
6	800	-1	300	10223333
6	600	-1	300	9320000
8	0	-1	300	7996667
8	800	-1	300	8900000
8	600	-1	300	7996667
4	0	-1	400	1e+07
4	800	-1	400	1e+07
4	600	-1	400	1e+07
6	0	-1	400	10653333
6	800	-1	400	10653333
6	600	-1	400	10653333
8	0	-1	400	10246667
8	800	-1	400	10246667
8	600	-1	400	10246667
