max_depth	min_split	cp	minbucket	ganancia_promedio
7.5	2000	-0.99	300	10576667
7.51	2000	-0.99	300	10576667
7.52	2000	-0.99	300	10576667
7.53	2000	-0.99	300	10576667
7.54	2000	-0.99	300	10576667
7.55	2000	-0.99	300	10576667
7.56	2000	-0.99	300	10576667
7.57	2000	-0.99	300	10576667
7.58	2000	-0.99	300	10576667
7.59	2000	-0.99	300	10576667
7.6	2000	-0.99	300	10576667
7.61	2000	-0.99	300	10576667
7.62	2000	-0.99	300	10576667
7.63	2000	-0.99	300	10576667
7.64	2000	-0.99	300	10576667
7.65	2000	-0.99	300	10576667
7.66	2000	-0.99	300	10576667
7.67	2000	-0.99	300	10576667
7.68	2000	-0.99	300	10576667
7.69	2000	-0.99	300	10576667
7.7	2000	-0.99	300	10576667
7.71	2000	-0.99	300	10576667
7.72	2000	-0.99	300	10576667
7.73	2000	-0.99	300	10576667
7.74	2000	-0.99	300	10576667
7.75	2000	-0.99	300	10576667
7.76	2000	-0.99	300	10576667
7.77	2000	-0.99	300	10576667
7.78	2000	-0.99	300	10576667
7.79	2000	-0.99	300	10576667
7.8	2000	-0.99	300	10576667
7.81	2000	-0.99	300	10576667
7.82	2000	-0.99	300	10576667
7.83	2000	-0.99	300	10576667
7.84	2000	-0.99	300	10576667
7.85	2000	-0.99	300	10576667
7.86	2000	-0.99	300	10576667
7.87	2000	-0.99	300	10576667
7.88	2000	-0.99	300	10576667
7.89	2000	-0.99	300	10576667
7.9	2000	-0.99	300	10576667
7.91	2000	-0.99	300	10576667
7.92	2000	-0.99	300	10576667
7.93	2000	-0.99	300	10576667
7.94	2000	-0.99	300	10163333
7.95	2000	-0.99	300	10163333
7.96	2000	-0.99	300	10163333
7.97	2000	-0.99	300	10163333
7.98	2000	-0.99	300	10163333
7.99	2000	-0.99	300	10163333
8	2000	-0.99	300	10163333
