max_depth	min_split	cp	minbucket	ganancia_promedio
6.5	2000	-0.99	300	10576667
6.51	2000	-0.99	300	10576667
6.52	2000	-0.99	300	10576667
6.53	2000	-0.99	300	10576667
6.54	2000	-0.99	300	10576667
6.55	2000	-0.99	300	10576667
6.56	2000	-0.99	300	10576667
6.57	2000	-0.99	300	10576667
6.58	2000	-0.99	300	10576667
6.59	2000	-0.99	300	10576667
6.6	2000	-0.99	300	10576667
6.61	2000	-0.99	300	10576667
6.62	2000	-0.99	300	10576667
6.63	2000	-0.99	300	10576667
6.64	2000	-0.99	300	10576667
6.65	2000	-0.99	300	10576667
6.66	2000	-0.99	300	10576667
6.67	2000	-0.99	300	10576667
6.68	2000	-0.99	300	10576667
6.69	2000	-0.99	300	10576667
6.7	2000	-0.99	300	10576667
6.71	2000	-0.99	300	10576667
6.72	2000	-0.99	300	10576667
6.73	2000	-0.99	300	10576667
6.74	2000	-0.99	300	10576667
6.75	2000	-0.99	300	10576667
6.76	2000	-0.99	300	10576667
6.77	2000	-0.99	300	10576667
6.78	2000	-0.99	300	10576667
6.79	2000	-0.99	300	10576667
6.8	2000	-0.99	300	10576667
6.81	2000	-0.99	300	10576667
6.82	2000	-0.99	300	10576667
6.83	2000	-0.99	300	10576667
6.84	2000	-0.99	300	10576667
6.85	2000	-0.99	300	10576667
6.86	2000	-0.99	300	10576667
6.87	2000	-0.99	300	10576667
6.88	2000	-0.99	300	10576667
6.89	2000	-0.99	300	10576667
6.9	2000	-0.99	300	10576667
6.91	2000	-0.99	300	10576667
6.92	2000	-0.99	300	10576667
6.93	2000	-0.99	300	10576667
6.94	2000	-0.99	300	10576667
6.95	2000	-0.99	300	10576667
6.96	2000	-0.99	300	10576667
6.97	2000	-0.99	300	10576667
6.98	2000	-0.99	300	10576667
6.99	2000	-0.99	300	10576667
7	2000	-0.99	300	10576667
7.01	2000	-0.99	300	10576667
7.02	2000	-0.99	300	10576667
7.03	2000	-0.99	300	10576667
7.04	2000	-0.99	300	10576667
7.05	2000	-0.99	300	10576667
7.06	2000	-0.99	300	10576667
7.07	2000	-0.99	300	10576667
7.08	2000	-0.99	300	10576667
7.09	2000	-0.99	300	10576667
7.1	2000	-0.99	300	10576667
7.11	2000	-0.99	300	10576667
7.12	2000	-0.99	300	10576667
7.13	2000	-0.99	300	10576667
7.14	2000	-0.99	300	10576667
7.15	2000	-0.99	300	10576667
7.16	2000	-0.99	300	10576667
7.17	2000	-0.99	300	10576667
7.18	2000	-0.99	300	10576667
7.19	2000	-0.99	300	10576667
7.2	2000	-0.99	300	10576667
7.21	2000	-0.99	300	10576667
7.22	2000	-0.99	300	10576667
7.23	2000	-0.99	300	10576667
7.24	2000	-0.99	300	10576667
7.25	2000	-0.99	300	10576667
7.26	2000	-0.99	300	10576667
7.27	2000	-0.99	300	10576667
7.28	2000	-0.99	300	10576667
7.29	2000	-0.99	300	10576667
7.3	2000	-0.99	300	10576667
7.31	2000	-0.99	300	10576667
7.32	2000	-0.99	300	10576667
7.33	2000	-0.99	300	10576667
7.34	2000	-0.99	300	10576667
7.35	2000	-0.99	300	10576667
7.36	2000	-0.99	300	10576667
7.37	2000	-0.99	300	10576667
7.38	2000	-0.99	300	10576667
7.39	2000	-0.99	300	10576667
7.4	2000	-0.99	300	10576667
7.41	2000	-0.99	300	10576667
7.42	2000	-0.99	300	10576667
7.43	2000	-0.99	300	10576667
7.44	2000	-0.99	300	10576667
7.45	2000	-0.99	300	10576667
7.46	2000	-0.99	300	10576667
7.47	2000	-0.99	300	10576667
7.48	2000	-0.99	300	10576667
7.49	2000	-0.99	300	10576667
7.5	2000	-0.99	300	10576667
