max_depth	min_split	cp	minbucket	ganancia_promedio
5.5	2000	-0.99	300	10576667
5.51	2000	-0.99	300	10576667
5.52	2000	-0.99	300	10576667
5.53	2000	-0.99	300	10576667
5.54	2000	-0.99	300	10576667
5.55	2000	-0.99	300	10576667
5.56	2000	-0.99	300	10576667
5.57	2000	-0.99	300	10576667
5.58	2000	-0.99	300	10576667
5.59	2000	-0.99	300	10576667
5.6	2000	-0.99	300	10576667
5.61	2000	-0.99	300	10576667
5.62	2000	-0.99	300	10576667
5.63	2000	-0.99	300	10576667
5.64	2000	-0.99	300	10576667
5.65	2000	-0.99	300	10576667
5.66	2000	-0.99	300	10576667
5.67	2000	-0.99	300	10576667
5.68	2000	-0.99	300	10576667
5.69	2000	-0.99	300	10576667
5.7	2000	-0.99	300	10576667
5.71	2000	-0.99	300	10576667
5.72	2000	-0.99	300	10576667
5.73	2000	-0.99	300	10576667
5.74	2000	-0.99	300	10576667
5.75	2000	-0.99	300	10576667
5.76	2000	-0.99	300	10576667
5.77	2000	-0.99	300	10576667
5.78	2000	-0.99	300	10576667
5.79	2000	-0.99	300	10576667
5.8	2000	-0.99	300	10576667
5.81	2000	-0.99	300	10576667
5.82	2000	-0.99	300	10576667
5.83	2000	-0.99	300	10576667
5.84	2000	-0.99	300	10576667
5.85	2000	-0.99	300	10576667
5.86	2000	-0.99	300	10576667
5.87	2000	-0.99	300	10576667
5.88	2000	-0.99	300	10576667
5.89	2000	-0.99	300	10576667
5.9	2000	-0.99	300	10576667
5.91	2000	-0.99	300	10576667
5.92	2000	-0.99	300	10576667
5.93	2000	-0.99	300	10576667
5.94	2000	-0.99	300	10576667
5.95	2000	-0.99	300	10576667
5.96	2000	-0.99	300	10576667
5.97	2000	-0.99	300	10576667
5.98	2000	-0.99	300	10576667
5.99	2000	-0.99	300	10576667
6	2000	-0.99	300	10576667
6.01	2000	-0.99	300	10576667
6.02	2000	-0.99	300	10576667
6.03	2000	-0.99	300	10576667
6.04	2000	-0.99	300	10576667
6.05	2000	-0.99	300	10576667
6.06	2000	-0.99	300	10576667
6.07	2000	-0.99	300	10576667
6.08	2000	-0.99	300	10576667
6.09	2000	-0.99	300	10576667
6.1	2000	-0.99	300	10576667
6.11	2000	-0.99	300	10576667
6.12	2000	-0.99	300	10576667
6.13	2000	-0.99	300	10576667
6.14	2000	-0.99	300	10576667
6.15	2000	-0.99	300	10576667
6.16	2000	-0.99	300	10576667
6.17	2000	-0.99	300	10576667
6.18	2000	-0.99	300	10576667
6.19	2000	-0.99	300	10576667
6.2	2000	-0.99	300	10576667
6.21	2000	-0.99	300	10576667
6.22	2000	-0.99	300	10576667
6.23	2000	-0.99	300	10576667
6.24	2000	-0.99	300	10576667
6.25	2000	-0.99	300	10576667
6.26	2000	-0.99	300	10576667
6.27	2000	-0.99	300	10576667
6.28	2000	-0.99	300	10576667
6.29	2000	-0.99	300	10576667
6.3	2000	-0.99	300	10576667
6.31	2000	-0.99	300	10576667
6.32	2000	-0.99	300	10576667
6.33	2000	-0.99	300	10576667
6.34	2000	-0.99	300	10576667
6.35	2000	-0.99	300	10576667
6.36	2000	-0.99	300	10576667
6.37	2000	-0.99	300	10576667
6.38	2000	-0.99	300	10576667
6.39	2000	-0.99	300	10576667
6.4	2000	-0.99	300	10576667
6.41	2000	-0.99	300	10576667
6.42	2000	-0.99	300	10576667
6.43	2000	-0.99	300	10576667
6.44	2000	-0.99	300	10576667
6.45	2000	-0.99	300	10576667
6.46	2000	-0.99	300	10576667
6.47	2000	-0.99	300	10576667
6.48	2000	-0.99	300	10576667
6.49	2000	-0.99	300	10576667
6.5	2000	-0.99	300	10576667
