max_depth	min_split	cp	minbucket	ganancia_promedio
6	800	-0.5	300	10223333
6	400	-0.5	300	9320000
7	800	-0.5	300	10643333
7	400	-0.5	300	9740000
6	800	-0.5	600	10443333
6	400	-0.5	600	10443333
7	800	-0.5	600	9770000
7	400	-0.5	600	9770000
6	800	-0.5	900	10870000
6	400	-0.5	900	10870000
7	800	-0.5	900	10870000
7	400	-0.5	900	10870000
6	800	-1	300	10223333
6	400	-1	300	9320000
7	800	-1	300	10643333
7	400	-1	300	9740000
6	800	-1	600	10443333
6	400	-1	600	10443333
7	800	-1	600	9770000
7	400	-1	600	9770000
6	800	-1	900	10870000
6	400	-1	900	10870000
7	800	-1	900	10870000
7	400	-1	900	10870000
