max_depth	min_split	cp	minbucket	ganancia_promedio
5.4	2000	-0.99	300	10006667
5.41	2000	-0.99	300	10006667
5.42	2000	-0.99	300	10006667
5.43	2000	-0.99	300	10006667
5.44	2000	-0.99	300	10006667
5.45	2000	-0.99	300	10006667
5.46	2000	-0.99	300	10006667
5.47	2000	-0.99	300	10006667
5.48	2000	-0.99	300	10006667
5.49	2000	-0.99	300	10006667
5.5	2000	-0.99	300	10576667
5.51	2000	-0.99	300	10576667
5.52	2000	-0.99	300	10576667
5.53	2000	-0.99	300	10576667
5.54	2000	-0.99	300	10576667
5.55	2000	-0.99	300	10576667
5.56	2000	-0.99	300	10576667
5.57	2000	-0.99	300	10576667
5.58	2000	-0.99	300	10576667
5.59	2000	-0.99	300	10576667
5.6	2000	-0.99	300	10576667
