max_depth	min_split	cp	minbucket	ganancia_promedio
6	1700	-1	300	10820000
6	1750	-1	300	10820000
6	1800	-1	300	10820000
7	1700	-1	300	10820000
7	1750	-1	300	10820000
7	1800	-1	300	10820000
8	1700	-1	300	10406667
8	1750	-1	300	10406667
8	1800	-1	300	10406667
6	1700	-1	350	10803333
6	1750	-1	350	10803333
6	1800	-1	350	10803333
7	1700	-1	350	10803333
7	1750	-1	350	10803333
7	1800	-1	350	10803333
8	1700	-1	350	10803333
8	1750	-1	350	10803333
8	1800	-1	350	10803333
6	1700	-1	400	11250000
6	1750	-1	400	11250000
6	1800	-1	400	11250000
7	1700	-1	400	11250000
7	1750	-1	400	11250000
7	1800	-1	400	11250000
8	1700	-1	400	11250000
8	1750	-1	400	11250000
8	1800	-1	400	11250000
6	1700	-1	450	11250000
6	1750	-1	450	11250000
6	1800	-1	450	11250000
7	1700	-1	450	11250000
7	1750	-1	450	11250000
7	1800	-1	450	11250000
8	1700	-1	450	11250000
8	1750	-1	450	11250000
8	1800	-1	450	11250000
6	1700	-1	500	11360000
6	1750	-1	500	11360000
6	1800	-1	500	11360000
7	1700	-1	500	11360000
7	1750	-1	500	11360000
7	1800	-1	500	11360000
8	1700	-1	500	11360000
8	1750	-1	500	11360000
8	1800	-1	500	11360000
