max_depth	min_split	cp	minbucket	ganancia_promedio
8	400	-0.6	100	8756667
10	1200	-0.6	100	9853333
10	1000	-0.6	100	10393333
10	800	-0.6	100	10176667
10	600	-0.6	100	9390000
10	400	-0.6	100	8146667
2	1200	-0.6	200	7996667
2	1000	-0.6	200	7996667
2	800	-0.6	200	7996667
2	600	-0.6	200	7996667
2	400	-0.6	200	7996667
4	1200	-0.6	200	9583333
4	1000	-0.6	200	9583333
4	800	-0.6	200	9583333
4	600	-0.6	200	9583333
4	400	-0.6	200	9583333
6	1200	-0.6	200	10586667
6	1000	-0.6	200	11003333
6	800	-0.6	200	11003333
6	600	-0.6	200	10890000
6	400	-0.6	200	10613333
8	1200	-0.6	200	10390000
8	1000	-0.6	200	10086667
8	800	-0.6	200	10036667
8	600	-0.6	200	9923333
8	400	-0.6	200	8583333
10	1200	-0.6	200	10390000
10	1000	-0.6	200	9416667
10	800	-0.6	200	9366667
10	600	-0.6	200	9190000
10	400	-0.6	200	8346667
2	1200	-0.6	300	7996667
2	1000	-0.6	300	7996667
2	800	-0.6	300	7996667
2	600	-0.6	300	7996667
2	400	-0.6	300	7996667
4	1200	-0.6	300	9583333
4	1000	-0.6	300	9583333
4	800	-0.6	300	9583333
4	600	-0.6	300	9583333
4	400	-0.6	300	9583333
6	1200	-0.6	300	10466667
6	1000	-0.6	300	10803333
6	800	-0.6	300	10803333
6	600	-0.6	300	10803333
6	400	-0.6	300	10803333
8	1200	-0.6	300	11210000
8	1000	-0.6	300	11466667
8	800	-0.6	300	11456667
8	600	-0.6	300	10956667
8	400	-0.6	300	10956667
10	1200	-0.6	300	11210000
10	1000	-0.6	300	11006667
10	800	-0.6	300	10996667
10	600	-0.6	300	10496667
10	400	-0.6	300	10496667
2	1200	-0.6	400	7996667
2	1000	-0.6	400	7996667
2	800	-0.6	400	7996667
2	600	-0.6	400	7996667
2	400	-0.6	400	7996667
4	1200	-0.6	400	9283333
4	1000	-0.6	400	9283333
4	800	-0.6	400	9283333
4	600	-0.6	400	9283333
4	400	-0.6	400	9283333
6	1200	-0.6	400	10316667
6	1000	-0.6	400	10316667
6	800	-0.6	400	10316667
6	600	-0.6	400	10316667
6	400	-0.6	400	10316667
8	1200	-0.6	400	10316667
8	1000	-0.6	400	9580000
8	800	-0.6	400	9413333
8	600	-0.6	400	9413333
8	400	-0.6	400	9413333
10	1200	-0.6	400	10316667
10	1000	-0.6	400	8970000
