max_depth	min_split	min_bucket	peso_error	ganancia_promedio
6	1900	350	201	12183333
6	1900	350	301	11702667
6	1900	350	401	11922667
6	1900	350	501	13110667
6	1900	350	601	12842000
6	1900	350	701	12455333
6	1900	350	801	12428667
6	1900	350	901	11540000
6	1900	350	1001	11462000
6	1900	400	1	10864667
6	1900	400	101	11514667
6	1900	400	201	12037333
6	1900	400	301	11741333
6	1900	400	401	12043333
6	1900	400	501	13113333
6	1900	400	601	12910667
6	1900	400	701	12455333
6	1900	400	801	12428667
6	1900	400	901	12232000
6	1900	400	1001	12184667
6	1900	450	1	10864667
6	1900	450	101	11505333
6	1900	450	201	12152000
6	1900	450	301	12276667
6	1900	450	401	12139333
6	1900	450	501	13209333
6	1900	450	601	12978000
6	1900	450	701	12522667
6	1900	450	801	12628667
6	1900	450	901	12618000
6	1900	450	1001	12576667
6	1900	500	1	10914000
6	1900	500	101	11482000
6	1900	500	201	11913333
6	1900	500	301	11984667
6	1900	500	401	12551333
6	1900	500	501	13163333
6	1900	500	601	12911333
6	1900	500	701	12456000
6	1900	500	801	12628667
6	1900	500	901	12618000
6	1900	500	1001	12576667
6	1950	300	1	10582667
6	1950	300	101	10824000
6	1950	300	201	11756000
6	1950	300	301	11677333
6	1950	300	401	11892000
6	1950	300	501	13060667
6	1950	300	601	12866000
6	1950	300	701	12479333
6	1950	300	801	12006000
6	1950	300	901	11117333
6	1950	300	1001	11039333
6	1950	350	1	10590000
6	1950	350	101	10898667
6	1950	350	201	12183333
6	1950	350	301	11702667
6	1950	350	401	11922667
6	1950	350	501	13110667
6	1950	350	601	12842000
6	1950	350	701	12455333
6	1950	350	801	12428667
6	1950	350	901	11540000
6	1950	350	1001	11462000
6	1950	400	1	10864667
6	1950	400	101	11472000
6	1950	400	201	12037333
6	1950	400	301	11741333
6	1950	400	401	12043333
6	1950	400	501	13113333
6	1950	400	601	12910667
6	1950	400	701	12455333
6	1950	400	801	12428667
6	1950	400	901	12232000
6	1950	400	1001	12184667
6	1950	450	1	10864667
6	1950	450	101	11505333
6	1950	450	201	12152000
6	1950	450	301	12276667
6	1950	450	401	12139333
6	1950	450	501	13209333
6	1950	450	601	12978000
6	1950	450	701	12522667
6	1950	450	801	12628667
6	1950	450	901	12618000
6	1950	450	1001	12576667
6	1950	500	1	10914000
6	1950	500	101	11482000
6	1950	500	201	11913333
6	1950	500	301	11984667
6	1950	500	401	12551333
6	1950	500	501	13163333
6	1950	500	601	12911333
6	1950	500	701	12456000
6	1950	500	801	12628667
6	1950	500	901	12618000
6	1950	500	1001	12576667
6	2000	300	1	10543333
6	2000	300	101	10848667
6	2000	300	201	11756000
6	2000	300	301	11719333
6	2000	300	401	11934000
6	2000	300	501	13060667
6	2000	300	601	12866000
6	2000	300	701	12479333
6	2000	300	801	12006000
6	2000	300	901	11117333
6	2000	300	1001	11039333
6	2000	350	1	10550667
6	2000	350	101	10948000
6	2000	350	201	12183333
6	2000	350	301	11744667
6	2000	350	401	11964667
6	2000	350	501	13110667
6	2000	350	601	12842000
6	2000	350	701	12455333
6	2000	350	801	12428667
6	2000	350	901	11540000
6	2000	350	1001	11462000
6	2000	400	1	10825333
6	2000	400	101	11426667
6	2000	400	201	12037333
6	2000	400	301	11600000
6	2000	400	401	11902000
6	2000	400	501	13113333
6	2000	400	601	12910667
6	2000	400	701	12455333
6	2000	400	801	12428667
6	2000	400	901	12232000
6	2000	400	1001	12184667
6	2000	450	1	10825333
6	2000	450	101	11444667
6	2000	450	201	12152000
6	2000	450	301	12135333
6	2000	450	401	11998000
6	2000	450	501	13209333
6	2000	450	601	12978000
6	2000	450	701	12522667
6	2000	450	801	12628667
6	2000	450	901	12618000
6	2000	450	1001	12576667
6	2000	500	1	10874667
6	2000	500	101	11524000
6	2000	500	201	11913333
6	2000	500	301	11828667
6	2000	500	401	12395333
6	2000	500	501	13163333
6	2000	500	601	12911333
6	2000	500	701	12456000
6	2000	500	801	12628667
6	2000	500	901	12618000
6	2000	500	1001	12576667
6.5	1700	300	1	10808000
6.5	1700	300	101	11132667
6.5	1700	300	201	11044667
6.5	1700	300	301	11050000
6.5	1700	300	401	11372667
6.5	1700	300	501	12531333
6.5	1700	300	601	13068000
6.5	1700	300	701	12808000
6.5	1700	300	801	12229333
6.5	1700	300	901	11682000
6.5	1700	300	1001	11604000
6.5	1700	350	1	10981333
6.5	1700	350	101	11332667
6.5	1700	350	201	11702667
6.5	1700	350	301	11328000
6.5	1700	350	401	11638000
6.5	1700	350	501	12640667
6.5	1700	350	601	13116000
6.5	1700	350	701	12856000
6.5	1700	350	801	12557333
6.5	1700	350	901	12633333
6.5	1700	350	1001	12586667
6.5	1700	400	1	11222667
6.5	1700	400	101	11614667
6.5	1700	400	201	11839333
6.5	1700	400	301	11376667
6.5	1700	400	401	11840000
6.5	1700	400	501	12759333
6.5	1700	400	601	12872667
6.5	1700	400	701	12856000
6.5	1700	400	801	12654000
6.5	1700	400	901	13060667
6.5	1700	400	1001	13018000
6.5	1700	450	1	11222667
6.5	1700	450	101	11786000
6.5	1700	450	201	11828000
6.5	1700	450	301	11260667
6.5	1700	450	401	11814000
6.5	1700	450	501	11962667
6.5	1700	450	601	12447333
6.5	1700	450	701	12720000
6.5	1700	450	801	12553333
6.5	1700	450	901	12924000
6.5	1700	450	1001	13130000
6.5	1700	500	1	11272000
6.5	1700	500	101	11657333
6.5	1700	500	201	11910000
6.5	1700	500	301	11066667
6.5	1700	500	401	12116000
6.5	1700	500	501	11772667
6.5	1700	500	601	12240667
6.5	1700	500	701	12582667
6.5	1700	500	801	12528000
6.5	1700	500	901	12898667
6.5	1700	500	1001	13112667
6.5	1750	300	1	10808000
6.5	1750	300	101	11132667
6.5	1750	300	201	10940000
6.5	1750	300	301	11050000
6.5	1750	300	401	11372667
6.5	1750	300	501	12531333
6.5	1750	300	601	13068000
6.5	1750	300	701	12808000
6.5	1750	300	801	12229333
6.5	1750	300	901	11682000
6.5	1750	300	1001	11604000
6.5	1750	350	1	10981333
6.5	1750	350	101	11332667
6.5	1750	350	201	11598000
6.5	1750	350	301	11328000
6.5	1750	350	401	11638000
6.5	1750	350	501	12430667
6.5	1750	350	601	12906000
6.5	1750	350	701	12646000
6.5	1750	350	801	12557333
6.5	1750	350	901	12633333
6.5	1750	350	1001	12586667
6.5	1750	400	1	11222667
6.5	1750	400	101	11614667
6.5	1750	400	201	11588667
6.5	1750	400	301	11240000
6.5	1750	400	401	11704000
6.5	1750	400	501	12549333
6.5	1750	400	601	12662667
6.5	1750	400	701	12646000
6.5	1750	400	801	12654000
6.5	1750	400	901	13060667
6.5	1750	400	1001	13018000
6.5	1750	450	1	11222667
6.5	1750	450	101	11786000
6.5	1750	450	201	11700667
6.5	1750	450	301	11260667
6.5	1750	450	401	11678000
6.5	1750	450	501	11752667
6.5	1750	450	601	12237333
6.5	1750	450	701	12510000
6.5	1750	450	801	12553333
6.5	1750	450	901	12924000
6.5	1750	450	1001	13130000
6.5	1750	500	1	11272000
6.5	1750	500	101	11657333
6.5	1750	500	201	11594000
6.5	1750	500	301	11066667
6.5	1750	500	401	12116000
6.5	1750	500	501	11580000
6.5	1750	500	601	12048000
6.5	1750	500	701	12390000
6.5	1750	500	801	12534667
6.5	1750	500	901	12905333
6.5	1750	500	1001	13112667
6.5	1800	300	1	10708000
6.5	1800	300	101	11034000
6.5	1800	300	201	10867333
6.5	1800	300	301	11050000
6.5	1800	300	401	11372667
6.5	1800	300	501	12531333
6.5	1800	300	601	13068000
6.5	1800	300	701	12808000
6.5	1800	300	801	12229333
6.5	1800	300	901	11682000
6.5	1800	300	1001	11604000
6.5	1800	350	1	10881333
6.5	1800	350	101	11170000
6.5	1800	350	201	11525333
6.5	1800	350	301	11328000
6.5	1800	350	401	11638000
6.5	1800	350	501	12430667
6.5	1800	350	601	12906000
6.5	1800	350	701	12646000
6.5	1800	350	801	12557333
6.5	1800	350	901	12633333
6.5	1800	350	1001	12586667
6.5	1800	400	1	11122667
6.5	1800	400	101	11473333
6.5	1800	400	201	11516000
6.5	1800	400	301	11240000
6.5	1800	400	401	11704000
6.5	1800	400	501	12549333
6.5	1800	400	601	12662667
6.5	1800	400	701	12646000
6.5	1800	400	801	12452667
6.5	1800	400	901	12859333
6.5	1800	400	1001	12816667
6.5	1800	450	1	11122667
6.5	1800	450	101	11664000
6.5	1800	450	201	11530000
6.5	1800	450	301	11260667
6.5	1800	450	401	11678000
6.5	1800	450	501	11752667
6.5	1800	450	601	12237333
6.5	1800	450	701	12510000
6.5	1800	450	801	12352000
6.5	1800	450	901	12722667
6.5	1800	450	1001	12928667
6.5	1800	500	1	11172000
6.5	1800	500	101	11811333
6.5	1800	500	201	11521333
6.5	1800	500	301	11066667
6.5	1800	500	401	12116000
6.5	1800	500	501	11580000
6.5	1800	500	601	12048000
6.5	1800	500	701	12390000
6.5	1800	500	801	12350667
6.5	1800	500	901	12721333
6.5	1800	500	1001	12928667
6.5	1850	300	1	10586000
6.5	1850	300	101	11005333
6.5	1850	300	201	10867333
6.5	1850	300	301	11050000
6.5	1850	300	401	11372667
6.5	1850	300	501	12531333
6.5	1850	300	601	13098667
6.5	1850	300	701	12838667
6.5	1850	300	801	12229333
6.5	1850	300	901	11682000
6.5	1850	300	1001	11604000
6.5	1850	350	1	10593333
6.5	1850	350	101	10965333
6.5	1850	350	201	11525333
6.5	1850	350	301	11328000
6.5	1850	350	401	11638000
6.5	1850	350	501	12430667
6.5	1850	350	601	12906000
6.5	1850	350	701	12646000
6.5	1850	350	801	12557333
6.5	1850	350	901	12633333
6.5	1850	350	1001	12586667
6.5	1850	400	1	10956667
6.5	1850	400	101	11444667
6.5	1850	400	201	11292000
6.5	1850	400	301	11225333
6.5	1850	400	401	11689333
6.5	1850	400	501	12549333
6.5	1850	400	601	12662667
6.5	1850	400	701	12646000
6.5	1850	400	801	12452667
6.5	1850	400	901	12859333
6.5	1850	400	1001	12816667
6.5	1850	450	1	10956667
6.5	1850	450	101	11635333
6.5	1850	450	201	11410000
6.5	1850	450	301	11246000
6.5	1850	450	401	11663333
6.5	1850	450	501	11752667
6.5	1850	450	601	12237333
6.5	1850	450	701	12510000
6.5	1850	450	801	12352000
6.5	1850	450	901	12722667
6.5	1850	450	1001	12928667
6.5	1850	500	1	11006000
6.5	1850	500	101	11811333
6.5	1850	500	201	11401333
6.5	1850	500	301	11052000
6.5	1850	500	401	12101333
6.5	1850	500	501	11580000
6.5	1850	500	601	12048000
6.5	1850	500	701	12390000
6.5	1850	500	801	12350667
6.5	1850	500	901	12721333
6.5	1850	500	1001	12928667
6.5	1900	300	1	10494000
6.5	1900	300	101	10700000
6.5	1900	300	201	10867333
6.5	1900	300	301	10988667
6.5	1900	300	401	11311333
6.5	1900	300	501	12531333
6.5	1900	300	601	13098667
6.5	1900	300	701	12838667
6.5	1900	300	801	12229333
6.5	1900	300	901	11682000
6.5	1900	300	1001	11604000
6.5	1900	350	1	10501333
6.5	1900	350	101	10965333
6.5	1900	350	201	11525333
6.5	1900	350	301	11421333
6.5	1900	350	401	11731333
6.5	1900	350	501	12430667
6.5	1900	350	601	12906000
6.5	1900	350	701	12646000
6.5	1900	350	801	12557333
6.5	1900	350	901	12633333
6.5	1900	350	1001	12586667
6.5	1900	400	1	10864667
6.5	1900	400	101	11444667
6.5	1900	400	201	11292000
6.5	1900	400	301	11318667
6.5	1900	400	401	11782667
6.5	1900	400	501	12549333
6.5	1900	400	601	12662667
6.5	1900	400	701	12646000
6.5	1900	400	801	12452667
6.5	1900	400	901	12859333
6.5	1900	400	1001	12816667
6.5	1900	450	1	10864667
6.5	1900	450	101	11635333
6.5	1900	450	201	11410000
6.5	1900	450	301	11339333
6.5	1900	450	401	11756667
6.5	1900	450	501	11752667
6.5	1900	450	601	12237333
6.5	1900	450	701	12510000
6.5	1900	450	801	12352000
6.5	1900	450	901	12722667
6.5	1900	450	1001	12928667
6.5	1900	500	1	10914000
6.5	1900	500	101	11607333
6.5	1900	500	201	11401333
6.5	1900	500	301	11145333
6.5	1900	500	401	12194667
6.5	1900	500	501	11580000
6.5	1900	500	601	12048000
6.5	1900	500	701	12390000
6.5	1900	500	801	12350667
6.5	1900	500	901	12721333
6.5	1900	500	1001	12928667
6.5	1950	300	1	10582667
6.5	1950	300	101	10640000
6.5	1950	300	201	10820667
6.5	1950	300	301	10942000
6.5	1950	300	401	11264667
6.5	1950	300	501	12531333
6.5	1950	300	601	13098667
6.5	1950	300	701	12838667
6.5	1950	300	801	12229333
6.5	1950	300	901	11682000
6.5	1950	300	1001	11604000
6.5	1950	350	1	10590000
6.5	1950	350	101	10905333
6.5	1950	350	201	11535333
6.5	1950	350	301	11563333
6.5	1950	350	401	11942667
6.5	1950	350	501	12430667
6.5	1950	350	601	12906000
6.5	1950	350	701	12646000
6.5	1950	350	801	12557333
6.5	1950	350	901	12633333
6.5	1950	350	1001	12586667
6.5	1950	400	1	10864667
6.5	1950	400	101	11402000
6.5	1950	400	201	11292000
6.5	1950	400	301	11318667
6.5	1950	400	401	11782667
6.5	1950	400	501	12549333
6.5	1950	400	601	12662667
6.5	1950	400	701	12646000
6.5	1950	400	801	12452667
6.5	1950	400	901	12859333
6.5	1950	400	1001	12816667
6.5	1950	450	1	10864667
6.5	1950	450	101	11635333
6.5	1950	450	201	11410000
6.5	1950	450	301	11339333
6.5	1950	450	401	11756667
6.5	1950	450	501	11752667
6.5	1950	450	601	12237333
6.5	1950	450	701	12510000
6.5	1950	450	801	12352000
6.5	1950	450	901	12722667
6.5	1950	450	1001	12928667
6.5	1950	500	1	10914000
6.5	1950	500	101	11607333
6.5	1950	500	201	11401333
6.5	1950	500	301	11145333
6.5	1950	500	401	12194667
6.5	1950	500	501	11580000
6.5	1950	500	601	12048000
6.5	1950	500	701	12390000
6.5	1950	500	801	12350667
6.5	1950	500	901	12721333
6.5	1950	500	1001	12928667
6.5	2000	300	1	10543333
6.5	2000	300	101	10664667
6.5	2000	300	201	10820667
6.5	2000	300	301	10984000
6.5	2000	300	401	11306667
6.5	2000	300	501	12531333
6.5	2000	300	601	13098667
6.5	2000	300	701	12838667
6.5	2000	300	801	12229333
6.5	2000	300	901	11682000
6.5	2000	300	1001	11604000
6.5	2000	350	1	10550667
6.5	2000	350	101	10954667
6.5	2000	350	201	11535333
6.5	2000	350	301	11605333
6.5	2000	350	401	11984667
6.5	2000	350	501	12430667
6.5	2000	350	601	12906000
6.5	2000	350	701	12646000
6.5	2000	350	801	12557333
6.5	2000	350	901	12633333
6.5	2000	350	1001	12586667
6.5	2000	400	1	10825333
6.5	2000	400	101	11356667
6.5	2000	400	201	11292000
6.5	2000	400	301	11177333
6.5	2000	400	401	11641333
6.5	2000	400	501	12549333
6.5	2000	400	601	12662667
6.5	2000	400	701	12646000
6.5	2000	400	801	12451333
6.5	2000	400	901	12858000
6.5	2000	400	1001	12816667
6.5	2000	450	1	10825333
6.5	2000	450	101	11574667
6.5	2000	450	201	11410000
6.5	2000	450	301	11198000
6.5	2000	450	401	11615333
6.5	2000	450	501	11752667
6.5	2000	450	601	12237333
6.5	2000	450	701	12510000
6.5	2000	450	801	12350667
6.5	2000	450	901	12721333
6.5	2000	450	1001	12928667
6.5	2000	500	1	10874667
6.5	2000	500	101	11649333
6.5	2000	500	201	11401333
6.5	2000	500	301	10989333
6.5	2000	500	401	12038667
6.5	2000	500	501	11580000
6.5	2000	500	601	12048000
6.5	2000	500	701	12390000
6.5	2000	500	801	12350667
6.5	2000	500	901	12721333
6.5	2000	500	1001	12928667
7	1700	300	1	11050000
7	1700	300	101	11225333
7	1700	300	201	11306000
7	1700	300	301	11327333
7	1700	300	401	11391333
7	1700	300	501	12516667
7	1700	300	601	13068000
7	1700	300	701	12808000
7	1700	300	801	12229333
7	1700	300	901	11682000
7	1700	300	1001	11604000
7	1700	350	1	11239333
7	1700	350	101	11368000
7	1700	350	201	11790000
7	1700	350	301	11730000
7	1700	350	401	11823333
7	1700	350	501	12640667
7	1700	350	601	13116000
7	1700	350	701	12856000
7	1700	350	801	12557333
7	1700	350	901	12633333
7	1700	350	1001	12586667
7	1700	400	1	11480667
7	1700	400	101	11497333
7	1700	400	201	11839333
7	1700	400	301	11593333
7	1700	400	401	11936000
7	1700	400	501	12759333
7	1700	400	601	12872667
7	1700	400	701	12856000
7	1700	400	801	12654000
7	1700	400	901	13060667
7	1700	400	1001	13018000
7	1700	450	1	11480667
7	1700	450	101	11840000
7	1700	450	201	11828000
7	1700	450	301	11260667
7	1700	450	401	11814000
7	1700	450	501	11962667
7	1700	450	601	12447333
7	1700	450	701	12720000
7	1700	450	801	12553333
7	1700	450	901	12924000
7	1700	450	1001	13130000
7	1700	500	1	11530000
7	1700	500	101	11698667
7	1700	500	201	11910000
7	1700	500	301	11066667
7	1700	500	401	12116000
7	1700	500	501	11772667
7	1700	500	601	12240667
7	1700	500	701	12582667
7	1700	500	801	12528000
7	1700	500	901	12898667
7	1700	500	1001	13112667
7	1750	300	1	11050000
7	1750	300	101	11225333
7	1750	300	201	11201333
7	1750	300	301	11327333
7	1750	300	401	11391333
7	1750	300	501	12516667
7	1750	300	601	13068000
7	1750	300	701	12808000
7	1750	300	801	12229333
7	1750	300	901	11682000
7	1750	300	1001	11604000
7	1750	350	1	11239333
7	1750	350	101	11368000
7	1750	350	201	11685333
7	1750	350	301	11730000
7	1750	350	401	11823333
7	1750	350	501	12430667
7	1750	350	601	12906000
7	1750	350	701	12646000
7	1750	350	801	12557333
7	1750	350	901	12633333
7	1750	350	1001	12586667
7	1750	400	1	11480667
7	1750	400	101	11497333
7	1750	400	201	11588667
7	1750	400	301	11456667
7	1750	400	401	11800000
7	1750	400	501	12549333
7	1750	400	601	12662667
7	1750	400	701	12646000
7	1750	400	801	12654000
7	1750	400	901	13060667
7	1750	400	1001	13018000
7	1750	450	1	11480667
7	1750	450	101	11840000
7	1750	450	201	11700667
7	1750	450	301	11260667
7	1750	450	401	11678000
7	1750	450	501	11752667
7	1750	450	601	12237333
7	1750	450	701	12510000
7	1750	450	801	12553333
7	1750	450	901	12924000
7	1750	450	1001	13130000
7	1750	500	1	11530000
7	1750	500	101	11698667
7	1750	500	201	11594000
7	1750	500	301	11066667
7	1750	500	401	12116000
7	1750	500	501	11580000
7	1750	500	601	12048000
7	1750	500	701	12390000
7	1750	500	801	12534667
7	1750	500	901	12905333
7	1750	500	1001	13112667
7	1800	300	1	10950000
7	1800	300	101	11126667
7	1800	300	201	11128667
7	1800	300	301	11327333
7	1800	300	401	11391333
7	1800	300	501	12516667
7	1800	300	601	13068000
7	1800	300	701	12808000
7	1800	300	801	12229333
7	1800	300	901	11682000
7	1800	300	1001	11604000
7	1800	350	1	11139333
7	1800	350	101	11205333
7	1800	350	201	11612667
7	1800	350	301	11730000
7	1800	350	401	11823333
7	1800	350	501	12430667
7	1800	350	601	12906000
7	1800	350	701	12646000
7	1800	350	801	12557333
7	1800	350	901	12633333
7	1800	350	1001	12586667
7	1800	400	1	11380667
7	1800	400	101	11356000
7	1800	400	201	11516000
7	1800	400	301	11456667
7	1800	400	401	11800000
7	1800	400	501	12549333
7	1800	400	601	12662667
7	1800	400	701	12646000
7	1800	400	801	12452667
7	1800	400	901	12859333
7	1800	400	1001	12816667
7	1800	450	1	11380667
7	1800	450	101	11718000
7	1800	450	201	11530000
7	1800	450	301	11260667
7	1800	450	401	11678000
7	1800	450	501	11752667
7	1800	450	601	12237333
7	1800	450	701	12510000
7	1800	450	801	12352000
7	1800	450	901	12722667
7	1800	450	1001	12928667
7	1800	500	1	11430000
7	1800	500	101	11852667
7	1800	500	201	11521333
7	1800	500	301	11066667
7	1800	500	401	12116000
7	1800	500	501	11580000
7	1800	500	601	12048000
7	1800	500	701	12390000
7	1800	500	801	12350667
7	1800	500	901	12721333
7	1800	500	1001	12928667
7	1850	300	1	10570000
7	1850	300	101	11098000
7	1850	300	201	11128667
7	1850	300	301	11327333
7	1850	300	401	11391333
7	1850	300	501	12516667
7	1850	300	601	13098667
7	1850	300	701	12838667
7	1850	300	801	12229333
7	1850	300	901	11682000
7	1850	300	1001	11604000
7	1850	350	1	10593333
7	1850	350	101	11000667
7	1850	350	201	11612667
7	1850	350	301	11730000
7	1850	350	401	11823333
7	1850	350	501	12430667
7	1850	350	601	12906000
7	1850	350	701	12646000
7	1850	350	801	12557333
7	1850	350	901	12633333
7	1850	350	1001	12586667
7	1850	400	1	10956667
7	1850	400	101	11327333
7	1850	400	201	11292000
7	1850	400	301	11442000
7	1850	400	401	11785333
7	1850	400	501	12549333
7	1850	400	601	12662667
7	1850	400	701	12646000
7	1850	400	801	12452667
7	1850	400	901	12859333
7	1850	400	1001	12816667
7	1850	450	1	10956667
7	1850	450	101	11689333
7	1850	450	201	11410000
7	1850	450	301	11246000
7	1850	450	401	11663333
7	1850	450	501	11752667
7	1850	450	601	12237333
7	1850	450	701	12510000
7	1850	450	801	12352000
7	1850	450	901	12722667
7	1850	450	1001	12928667
7	1850	500	1	11006000
7	1850	500	101	11852667
7	1850	500	201	11401333
7	1850	500	301	11052000
7	1850	500	401	12101333
7	1850	500	501	11580000
7	1850	500	601	12048000
7	1850	500	701	12390000
7	1850	500	801	12350667
7	1850	500	901	12721333
7	1850	500	1001	12928667
7	1900	300	1	10478000
7	1900	300	101	10792667
7	1900	300	201	10954667
7	1900	300	301	11163333
7	1900	300	401	11330000
7	1900	300	501	12516667
7	1900	300	601	13098667
7	1900	300	701	12838667
7	1900	300	801	12229333
7	1900	300	901	11682000
7	1900	300	1001	11604000
7	1900	350	1	10501333
7	1900	350	101	11000667
7	1900	350	201	11612667
7	1900	350	301	11702667
7	1900	350	401	11916667
